Recipe,Ingredients,Link to the whole recipe,Suitable for Vegans
Sweetened Condensed Milk Substitute,"evaporated milk, sugar",http://www.recipezaar.com/Sweetened-Condensed-Milk-Substitute-104863,False
Vine Leaf-Wrapped Sheep's-Milk Ricotta with Fennel and Olives,"grape leaves, brine, olive oil, fennel bulb, raisins, olives, pine nuts, salt, ricotta cheese, italian bread",http://www.epicurious.com/recipes/food/views/Vine-Leaf-Wrapped-Sheeps-Milk-Ricotta-with-Fennel-and-Olives-15694,False
Brazilian Style(Milk Pudding),"eggs, milk, sugar, condensed milk",http://www.recipezaar.com/Brazilian-StyleMilk-Pudding-187092,False
The Salad,"black pepper, garlic, lemon, salad greens, olive oil, sauce, salt",http://www.recipezaar.com/The-Salad-150702,True
Cindi's Chicken Macaroni Salad,"celery, colby cheese, chicken, peas, ranch dressing, elbow macaroni, onions, red pepper, salad dressing, salt",http://www.recipezaar.com/Cindis-Chicken-Macaroni-Salad-46087,False
Aunt Baby's Iceberg Health Salad With Roasted Butternut,"yellow squash, cucumber, feta cheese, grape tomatoes, green onion, lettuce, walnut",http://www.recipezaar.com/Aunt-Babys-Iceberg-Health-Salad-With-Roasted-Butternut-258924,False
"Mom's ""the Best"" Lettuce/Pea Salad","celery, cheddar cheese, peas, green onion, lettuce, mayonnaise, water chestnuts",http://www.recipezaar.com/Moms-the-Best-LettucePea-Salad-64951,False
Catherine de Medici's Salad (Insalata di Caterina),"anchovies, capers, eggs, salad greens, olive oil, pecorino, salt, vinegar",http://www.recipezaar.com/Catherine-de-Medicis-Salad-Insalata-di-Caterina-81625,False
Classic Greek Salad,"cucumber, endive, feta cheese, green olive, green onion, green pepper, lettuce, red onions, olives, olives, tomato",http://www.recipezaar.com/Classic-Greek-Salad-231425,False
Oyster Salad Recipe,"cream, white wine vinegar, oysters, butter, cayenne, celery seed, mustard",http://www.grouprecipes.com/620/oyster-salad.html,False
Crunchy Cauliflower/Water Chestnut Salad,"carrot, cauliflower, cheddar cheese, peas, green onion, water chestnuts",http://www.recipezaar.com/Crunchy-CauliflowerWater-Chestnut-Salad-65618,False
Crunchy Noodle Salad  *award Winning*,"cabbage, green onion, ramen noodles, sesame seed, almonds, sugar, vegetable oil, white wine vinegar",http://www.recipezaar.com/Crunchy-Noodle-Salad-award-Winning-136834,True
Diva Salad,"balsamic vinegar, dijon mustard, olive oil, goat cheese, salad greens, salt, sun-dried tomato, walnut, walnut",http://www.recipezaar.com/Diva-Salad-202813,False
Copycat Chilis Southwest Egg Rolls Recipe,"avocado, buttermilk, black beans, cayenne, chicken, chili powder, corn, cumin, dill weed, parsley, flour tortillas, garlic powder, green onion, mayonnaise, monterey jack cheese, onions, onion powder, black pepper, red pepper, avocado, salt, salt, sour cream, spinach, tomato, vegetable oil, white vinegar",http://www.grouprecipes.com/11430/copycat-chilis-southwest-egg-rolls.html,False
Vegan Egg White Substitute Recipe,"flax seed, water",http://www.grouprecipes.com/11755/vegan-egg-white-substitute.html,True
Ramen Noodle Egg Foo Yung,"baking powder, butter, eggs, green onion, ramen noodles, vegetable oil, soy sauce",http://www.recipezaar.com/Ramen-Noodle-Egg-Foo-Yung-133513,False
Egg Yolk Cookies,"flour, baking soda, butter, cream of tartar, egg yolks, lemon extract, orange extract, sugar, vanilla extract",http://www.recipezaar.com/Egg-Yolk-Cookies-63803,False
Egg Rolls and Spring Rolls (Great for the Freezer!),"bean sprouts, cabbage, carrot, egg roll wraps, egg yolks, ground pork, mushroom, vegetable oil, onions, shrimp",http://www.recipezaar.com/Egg-Rolls-and-Spring-Rolls-Great-for-the-Freezer-295384,False
Egg Salad Sandwich (Diabetic),"celery, dijon mustard, eggs, sour cream, paprika, mayonnaise, salt, sweet pickle relish, wheat bread",http://www.recipezaar.com/Egg-Salad-Sandwich-Diabetic-275908,False
Egg-Free Chocolate Chip Cookies,"baking soda, brown sugar, butter, flour, eggs, salt, semisweet chocolate chips, sugar, vanilla extract, water",http://www.recipezaar.com/Egg-Free-Chocolate-Chip-Cookies-181387,False
Bacon and Egg Cups,"bacon, cheese, eggs, black pepper, salt",http://www.recipezaar.com/Bacon-and-Egg-Cups-116152,False
"Fried Rice with Ham, Egg, and Scallions","eggs, garlic, peas, salt, green onion, smoked ham, vegetable oil, white pepper",http://www.epicurious.com/recipes/food/views/Fried-Rice-with-Ham-Egg-and-Scallions-231333,False
Berry Egg Rolls With Chocolate Raspberry Sauce,"blueberries, egg roll wraps, milk, raspberries, strawberries, vanilla pudding",http://www.recipezaar.com/Berry-Egg-Rolls-With-Chocolate-Raspberry-Sauce-95917,False
Save the Pits Guacamole/Avocado Dip,"avocado, green chilies, green onion, lemon juice, salt",http://www.recipezaar.com/Save-the-Pits-GuacamoleAvocado-Dip-93640,True
Avocado and Lime With Bacon on Toast,"avocado, butter, rye bread, parsley, lime juice, bacon",http://www.recipezaar.com/Avocado-and-Lime-With-Bacon-on-Toast-117619,False
Avocado and Tofu Dip,"apple cider vinegar, avocado, avocado, cherry tomato, olive oil, garlic, yogurt, spring onion, tofu",http://www.recipezaar.com/Avocado-and-Tofu-Dip-116794,False
Avocado Mashed Potatoes,"avocado, butter, potato, salt",http://www.recipezaar.com/Avocado-Mashed-Potatoes-340511,False
Avocado Smoothie,"avocado, honey, milk, strawberries",http://www.recipezaar.com/Avocado-Smoothie-323611,False
Avocado With Lime and Chilies,"avocado, brown sugar, parsley, jalapeno, lime juice, lime, olive oil",http://www.recipezaar.com/Avocado-With-Lime-and-Chilies-303119,True
Daffy Avocado Gelato,"avocado, cornstarch, lemon juice, milk, sugar",http://www.recipezaar.com/Daffy-Avocado-Gelato-307827,False
Avocado Citrus Salad,"avocado, cider vinegar, grapefruit, grapes, orange, pear, salad greens, salt, sugar, vegetable oil, walnut",http://allrecipes.com/Recipe/Avocado-Citrus-Salad/Detail.aspx,True
Avocado Energy Booster,"avocado, ice, maple syrup, milk, vanilla extract",http://allrecipes.com/Recipe/Avocado-Energy-Booster/Detail.aspx,False
Avocado Pie,"avocado, lemon juice",http://allrecipes.com/Recipe/Avocado-Pie-2/Detail.aspx,True
Carrot-Tofu Dish,"tofu, vegetable oil, carrot, soy sauce, rice vinegar, sake, salt, sucanat, dark sesame oil, sesame seed",http://www.recipezaar.com/Carrot-Tofu-Dish-248525,True
Marinated Tofu for Meat-Eaters Who Hate Tofu,"tofu, flour, vegetable oil",http://www.recipezaar.com/Marinated-Tofu-for-Meat-Eaters-Who-Hate-Tofu-133469,True
Baked Jerk Tofu,"brown sugar, thyme, tofu, ginger, green chilies, garlic, cinnamon, cloves, black pepper, onions, red wine vinegar, soy sauce",http://www.recipezaar.com/baked-jerk-tofu-373451,True
Grilled Tofu Sandwich Filling,"honey mustard, vegetable oil",http://allrecipes.com/Recipe/Grilled-Tofu-Sandwich-Filling/Detail.aspx,False
Easy Tofu for Everyone,"tofu, curry paste, vegetable oil, soy sauce",http://www.recipezaar.com/Easy-Tofu-for-Everyone-141512,True
Easy Tofu Tacos,"vegetable oil, taco seasoning, taco shells, tofu, water",http://www.recipezaar.com/Easy-Tofu-Tacos-333783,True
Tofu Peanut Stir-Fry,"cornstarch, eggs, peanut sauce, peanuts, salt, salt, vegetable oil, vegetable oil",http://allrecipes.com/Recipe/Tofu-Peanut-Stir-Fry/Detail.aspx,False
Agedahsi Dofu (deep Fried Tofu),"dashi stock, tofu, ginger, mirin, potato starch, potato starch, soy sauce, vegetable oil",http://www.recipezaar.com/Agedahsi-Dofu-deep-Fried-Tofu-120799,True
Spicy Lemongrass Tofu,"red pepper flakes, garlic, lemongrass, peanuts, salt, shallot, soy sauce, sugar, chilies, tofu, turmeric, vegetable oil, yellow onions",http://www.epicurious.com/recipes/food/views/Spicy-Lemongrass-Tofu-233844,True
Scrambled Tofu on Toast,"butter, tofu, salt, turmeric, vegetable oil, wheat bread",http://www.recipezaar.com/Scrambled-Tofu-on-Toast-293,False
Drop Dead Gorgeous - Garlic Studded Roast Leg of Lamb,"black pepper, mustard powder, rosemary, garlic, lamb, lemon juice, olive oil, salt",http://www.recipezaar.com/Drop-Dead-Gorgeous-Garlic-Studded-Roast-Leg-of-Lamb-349145,False
Grilled  Leg of Lamb With Garlic and Herb Lemon Marinade,lamb,http://www.recipezaar.com/Grilled-Leg-of-Lamb-With-Garlic-and-Herb-Lemon-Marinade-125005,False
Lamb for Learners! Redcurrant and Honey Glazed Lamb (Crock Pot),"black pepper, dijon mustard, garlic, honey, lamb, red currant jelly, salt",http://www.recipezaar.com/Lamb-for-Learners-Redcurrant-and-Honey-Glazed-Lamb-Crock-Pot-219423,False
Mean's Lamb You Can Eat With a Spoon,"bay leaves, beef broth, rosemary, garlic, lamb, olive oil, onions, pancetta, red wine, shallot, tomato paste",http://www.recipezaar.com/Means-Lamb-You-Can-Eat-With-a-Spoon-23495,False
Rack Of Lamb 2 Recipe,"sea salt, garlic, garlic, garlic, salt, olive oil, black pepper, lamb",http://www.grouprecipes.com/80151/rack-of-lamb-2.html,False
Leg of Lamb for the Slow Cooker / Crock Pot,"rosemary, garlic, lamb, olive oil, soy sauce, salt, vegetable broth",http://www.recipezaar.com/Leg-of-Lamb-for-the-Slow-Cooker-Crock-Pot-218860,False
Stuffed Leg of Lamb (Fakdeh Mehshi Khodra),"allspice, allspice, bay leaves, bay leaves, black pepper, black pepper, cardamom, cardamom, carrot, carrot, cloves, cloves, mint, mint, parsley, parsley, garlic, garlic, jalapeno, jalapeno, lamb, lamb, chicken broth, chicken broth, nutmeg, nutmeg, cinnamon, cinnamon, onions, onions, red wine, red wine, red wine vinegar, red wine vinegar, salt, salt, flour, flour",http://www.epicurious.com/recipes/food/views/Stuffed-Leg-of-Lamb-Fakdeh-Mehshi-Khodra-233061,False
Braised Lamb Shanks in Orange-Merlot Sauce (Passover),"basil, olive oil, black pepper, garlic, lamb, chicken broth, merlot, orange juice, orange zest, oregano, rosemary, salt",http://www.recipezaar.com/Braised-Lamb-Shanks-in-Orange-Merlot-Sauce-Passover-222119,False
Olive Encrusted Lamb Racks,"dijon mustard, olive oil, garlic, lamb, lemon juice, lemon zest, olive, rosemary, salt",http://www.recipezaar.com/Olive-Encrusted-Lamb-Racks-58297,False
Garlic Lovers' Greek Lamb Shanks,"mint, oregano, red wine, olive oil, garlic, lamb, salt",http://www.recipezaar.com/Garlic-Lovers-Greek-Lamb-Shanks-41418,False
North Carolina Pulled Pork,"black pepper, pork chops, celery seed, garlic salt, water, brown sugar, paprika, mustard powder, onion powder, hot paprika, salt, hamburger bun",http://www.epicurious.com/recipes/food/views/North-Carolina-Pulled-Pork-242247,False
Carolina Pulled Pork Inspired Hamburgers,"bacon, celery seed, cider vinegar, brown sugar, dijon mustard, garlic powder, cabbage, pork chops, honey, hot paprika, liquid smoke flavoring, onions, onion powder, salt, bread, paprika, hot sauce, butter, vegetable oil, worcestershire sauce",http://www.recipezaar.com/Carolina-Pulled-Pork-Inspired-Hamburgers-153361,False
Breaded Dijon Pork Chops,"dijon mustard, thyme, black pepper, pork, sage, saltine crackers, vegetable oil",http://allrecipes.com/Recipe/Breaded-Dijon-Pork-Chops/Detail.aspx,False
Vietnamese clay pot pork,"vegetable oil, chili, fish sauce, garlic, ginger, eggs, black pepper, pork chops, salt, shallot, sugar, water",http://www.recipezaar.com/Vietnamese-clay-pot-pork-88691,False
Amazing Jerk Pork Tenderloin,"allspice, black pepper, brown sugar, cayenne, cinnamon, thyme, garlic, ginger, green onion, habanero pepper, kosher salt, nutmeg, pork chops, soy sauce, vegetable oil, white vinegar, yellow onions",http://www.recipezaar.com/Amazing-Jerk-Pork-Tenderloin-177146,False
"Crock Pot Normandy Pork With Apples, Shallots &amp; Cider","apple cider vinegar, apple, balsamic vinegar, black pepper, butter, calvados, chicken broth, sour cream, thyme, olive oil, pork chops, salt, shallot, apple cider",http://www.recipezaar.com/Crock-Pot-Normandy-Pork-With-Apples-Shallots-Cider-191479,False
Bbq Pulled Pork Recipe,"ketchup, cider vinegar, brown sugar, pork chops",http://www.grouprecipes.com/37900/bbq-pulled-pork.html,False
Smoked Pork Butt,"brown sugar, chili powder, pork chops",http://allrecipes.com/Recipe/Smoked-Pork-Butt/Detail.aspx,False
Grilled Bourbon-Marinated Pork Chops or Pork Tenderloins,"pork chops, salt",http://www.recipezaar.com/Grilled-Bourbon-Marinated-Pork-Chops-or-Pork-Tenderloins-171002,False
Asian-Style Red Pork Strips,"black pepper, brown sugar, garlic powder, green onion, hoisin sauce, pork, vegetable oil, soy sauce, worcestershire sauce",http://www.recipezaar.com/Asian-Style-Red-Pork-Strips-202930,False
Home Fried Chicken Recipe,"milk, bacon grease, flour, potato, chicken",http://www.grouprecipes.com/11241/home-fried-chicken.html,False
Chicken in a Pot Plus Stock or Dumplings,"allspice, bay leaf, carrot, celery, thyme, onions, parsley, black pepper, salt, salt, water, chicken",http://www.recipezaar.com/Chicken-in-a-Pot-Plus-Stock-or-Dumplings-115070,False
Tipsy Chicken,"beer, cayenne, chili powder, cumin, curry powder, garlic powder, wood chips, onion powder, paprika, black pepper, salt, salt, water",http://allrecipes.com/Recipe/Tipsy-Chicken/Detail.aspx,True
2 in 1 - Herbed Chicken & Leftover Chicken Salad,"chicken, garlic, margarine, marjoram, onions, black pepper, rosemary, sage, salt, thyme",http://www.recipezaar.com/2-in-1-Herbed-Chicken-Leftover-Chicken-Salad-108955,False
Beer Can Chicken,"beer, brown sugar, salt, seasoning, chicken",http://www.recipezaar.com/Beer-Can-Chicken-312508,False
Asian Chicken Noodle Soup Recipe,"spinach, broth, carrot, chicken, chicken broth, mint, garlic, ginger, radish, lime, udon noodles, onions, hot pepper, peas, soup, lemon grass, fish sauce, vegetable oil, green onion, red pepper flakes, dark sesame oil",http://www.grouprecipes.com/67612/asian-chicken-noodle-soup.html,False
"Chez Panisse Brine for Pork, Chicken and Turkey","allspice, bay leaves, water, thyme, garlic, juniper berries, kosher salt, sugar",http://www.recipezaar.com/Chez-Panisse-Brine-for-Pork-Chicken-and-Turkey-131506,True
Chicken Breasts Stuffed With Olives and Goat Cheese,"chicken, red pepper flakes, oregano, white wine, parsley, goat cheese, garlic, kalamata olive, milk, olive oil, salt",http://www.recipezaar.com/Chicken-Breasts-Stuffed-With-Olives-and-Goat-Cheese-113177,False
Ask for More Chicken,"onion soup mix, carrot, celery, chicken, chutney, water, vegetable oil, mayonnaise, onions, potato",http://www.recipezaar.com/Ask-for-More-Chicken-332993,False
Chicken Quesadillas Homemade,"chicken, monterey jack cheese, flour tortillas, jalapeno, mozzarella cheese, onions, tomato, vegetable oil",http://www.recipezaar.com/Chicken-Quesadillas-Homemade-200392,False
A Moment of Brilliance - Herb Crusted Bacon!,"bacon, black pepper",http://www.recipezaar.com/A-Moment-of-Brilliance-Herb-Crusted-Bacon-318491,True
Barbecued Peameal Bacon Roast Recipe,"potato, barbecue sauce, mustard, sherry, maple syrup, bacon",http://www.grouprecipes.com/66143/barbecued-peameal-bacon-roast.html,True
Joe's Incredible Bacon Pumpkin Pie,"allspice, brown sugar, cinnamon, cloves, cream cheese, eggs, ginger, half and half, bacon, vanilla extract",http://allrecipes.com/Recipe/Joes-Incredible-Bacon-Pumpkin-Pie/Detail.aspx,False
Bacon-Wrapped Shrimp,"bacon, shrimp, kosher salt",http://www.recipezaar.com/Bacom-Wrapped-Shrimp-343643,False
Bacon and Egg Cups,"bacon, cheese, eggs, black pepper, salt",http://www.recipezaar.com/Bacon-and-Egg-Cups-116152,False
"Crock Pot Turkey, Bean &amp; Bacon Dip","bacon, baked beans, black beans, brown sugar, celery, cider vinegar, green pepper, hot sauce, jalapeno, ketchup, kidney bean, turkey, onions, tomato, dijon mustard",http://www.recipezaar.com/Crock-Pot-Turkey-Bean-Bacon-Dip-330896,False
Avocado and Lime With Bacon on Toast,"avocado, butter, rye bread, parsley, lime juice, bacon",http://www.recipezaar.com/Avocado-and-Lime-With-Bacon-on-Toast-117619,False
Baked Bacon (Oven Fried Bacon),"bacon, vegetable oil",http://www.recipezaar.com/Baked-Bacon-Oven-Fried-Bacon-187790,True
Cheese &amp; Bacon Breakfast Muffins,"bacon, baking powder, black pepper, butter, mushroom, cheese, chives, eggs, milk, olive oil, flour, salt",http://www.recipezaar.com/Cheese-Bacon-Breakfast-Muffins-264533,False
Fresh Side Pork Bacon Recipe,"salt, pork, pork",http://www.grouprecipes.com/9943/fresh-side-pork-bacon.html,False
Awesome High Heat Holiday Turkey,"chicken broth, black pepper, olive oil, turkey",http://www.recipezaar.com/Awesome-High-Heat-Holiday-Turkey-145046,False
Just In Time Roast Turkey Breast Recipe,"mayonnaise, bread crumbs, rosemary, thyme, turkey",http://www.grouprecipes.com/74511/just-in-time-roast-turkey-breast.html,False
Kittencal's Blasted Rapid Roast 2-Hour Whole Turkey,"black pepper, margarine, salt, water, turkey",http://www.recipezaar.com/Kittencals-Blasted-Rapid-Roast-Whole-Turkey-271595,False
Basic Turkey Meat Sauce,"red pepper flakes, tomato, basil, oregano, garlic, turkey, olive oil, onions, tomato sauce",http://www.recipezaar.com/Basic-Turkey-Meat-Sauce-155524,False
Easy Crock Pot Turkey Legs,"garlic salt, olive oil, paprika, salt, turkey legs",http://www.recipezaar.com/Easy-Crock-Pot-Turkey-Legs-270285,False
Fried Turkey Brined in Cayenne and Brown Sugar,"cayenne, water, dijon mustard, garlic, kosher salt, kosher salt, brown sugar, vegetable oil, thyme, turkey",http://www.recipezaar.com/Fried-Turkey-Brined-in-Cayenne-and-Brown-Sugar-144987,False
Gilded Saffron and Butter Basted Roast Turkey With Herb Garland,"butter, thyme, lemon, onions, black pepper, rosemary, salt, turkey",http://www.recipezaar.com/Gilded-Saffron-and-Butter-Basted-Roast-Turkey-With-Herb-Garland-271576,False
Giorgio Locatelli's Turkey Meatballs in Sweet and Sour Sauce,"potato, turkey, bread, eggs, garlic, lemon zest, milk, parmesan cheese, parsley, sunflower oil, bread crumbs",http://www.recipezaar.com/Giorgio-Locatellis-Turkey-Meatballs-in-Sweet-and-Sour-Sauce-148843,False
Great Basic Turkey  Stock,"bay leaf, carrot, celery, white wine, parsley, thyme, garlic, onions, turkey",http://www.recipezaar.com/Great-Basic-Turkey-Stock-276156,False
Sweet Potato and Turkey Shepherd's Pie,"browning sauce, carrot, celery, chicken broth, corn, egg substitute, flour, garlic, stuffing, sour cream, milk, nutmeg, olive oil, onions, peas, poultry seasoning, potato, black pepper, black pepper, sweet potato, turkey, worcestershire sauce",http://allrecipes.com/Recipe/Sweet-Potato-and-Turkey-Shepherds-Pie/Detail.aspx,False
All Purpose Ground Meat Mix,"celery, garlic, green pepper, ground beef, onions, black pepper, salt",http://www.recipezaar.com/All-Purpose-Ground-Meat-Mix-31008,False
Moms Meat Loaf Recipe,"green beans, barley, eggs, ground beef, seasoning, bread crumbs",http://www.grouprecipes.com/76908/moms-meat-loaf.html,False
All-Purpose Rub for Meat,"black pepper, oregano, thyme, mustard powder, paprika, salt, sugar",http://allrecipes.com/Recipe/All-Purpose-Rub-for-Meat/Detail.aspx,True
Natchitoches Meat Pies,"beef broth, celery, vegetable oil, eggs, garlic, green pepper, ground meat, ground pork, onions, pie crust, red pepper, salt, water",http://www.recipezaar.com/Natchitoches-Meat-Pies-315567,False
